Ingredient,Frequency,Percentage
"dried fennel",4,0.23%
"dehydrated cranberry",4,0.23%
"egg shells",4,0.23%
"fresh poultry",4,0.23%
"fulvic acid",4,0.23%
"chondroitine sulphate",4,0.23%
"dried herbs 0.05%",4,0.23%
"citrus extract 0.03%",4,0.23%
"turkey 33%",4,0.23%
"26% meat meal & gravy",4,0.23%
"omega 6",4,0.23%
"flax oil",4,0.23%
"carrot 2%",4,0.23%
"fish",4,0.23%
"5% ox heart",4,0.23%
"devils claw root",4,0.23%
"carrots 2%",4,0.23%
"kale 0.5%",4,0.23%
"fennel leaves",4,0.23%
"hydrolysed poultry livers",4,0.23%
"fucus vesiculosus extract",4,0.23%
"ascophyllum nodosum extract",4,0.23%
"phosphoric acid.",4,0.23%
"chicken stock",4,0.23%
"canola oil",4,0.23%
"vegetable fibre",4,0.23%
"apple 2%",4,0.23%
"minerals and vitamins",4,0.23%
"5% sweet potato",4,0.23%
"soy protein",4,0.23%
"green vegetables",4,0.23%
"brewers yeast.",4,0.23%
"apple 4%",4,0.23%
"dehydrated vegetable broth.",4,0.23%
"wheatfeed pellets",4,0.23%
"beta glucans.",4,0.23%
"beef kidney 5%",4,0.23%
"free range eggs 0.5%",4,0.23%
"milled flaxseed 0.5%",4,0.23%
"wheatgerm 0.25%",4,0.23%
"kelp 0.15%",4,0.23%
"milk thistle 0.05%",4,0.23%
"dandelion 0.05%",4,0.23%
"alfalfa 0.025%",4,0.23%
"nettle leaf 0.05%",4,0.23%
"spirulina 0.02%",4,0.23%
"raspberries",4,0.23%
"green beans 4%",4,0.23%
"hemp seed oil",4,0.23%
"dried seaweed 0.1%",4,0.23%
"dill",4,0.23%
"5% vegetables",4,0.23%
"natural spices.",4,0.23%
"tripe",4,0.23%
"beef meat meal",4,0.23%
"sea kelp",4,0.23%
"wheatgrass",4,0.23%
"dried potato flakes",4,0.23%
"seaweed oil",4,0.23%
"kelp.",4,0.23%
"wholegrain barley",3,0.17%
"beef 40%",3,0.17%
"carrot 9.6%",3,0.17%
"butternut squash 2.5%",3,0.17%
"broccoli 2.5%",3,0.17%
"kale 2.5%",3,0.17%
"flaxseed meal 2%",3,0.17%
"kelp meal 0.2%",3,0.17%
"cod liver oil 0.15%",3,0.17%
"wheatgerm oil 0.15%",3,0.17%
"cranberries 0.15%",3,0.17%
"botanicals 0.1%.",3,0.17%
"15% fresh pork",3,0.17%
"1% eggs",3,0.17%
"1% brewers yeast",3,0.17%
"0.25% cumin",3,0.17%
"0.25% thyme",3,0.17%
"0.1% herbs",3,0.17%
"msm cranberry",3,0.17%
"wholegrain white rice",3,0.17%
"wholegrain brown rice",3,0.17%
"refined chicken fat",3,0.17%
"selenium",3,0.17%
"beta carotene",3,0.17%
"white rice 21%",3,0.17%
"chicory extract 0.1%",3,0.17%
"chicken 31%",3,0.17%
"dehydrated chicken turkey and duck",3,0.17%
"dried lentils",3,0.17%
"dried colostrum",3,0.17%
"chicken freshly prepared",3,0.17%
"salmon freshly prepared",3,0.17%
"mixed herbs 0.5%",3,0.17%
"rice 22%",3,0.17%
"rice flour 22%",3,0.17%
"yucca schidigera 0.01%.",3,0.17%
"lard",3,0.17%
"deboned free range chicken meat 30%",3,0.17%
"dried peas 12%",3,0.17%
"dried sweet potato 4%",3,0.17%
"apple pomace",3,0.17%
"tyndallised lactobacillus helveticus ha-122.",3,0.17%
"blue whiting fish hydrolysed",3,0.17%
"brown rice 20%",3,0.17%
"potatoes 5%",3,0.17%
"glucose syrup",3,0.17%
"beef lung",3,0.17%
"beef heart",3,0.17%
"raspberry",3,0.17%
"meat and animal derivatives 41%",3,0.17%
"fennel seed",3,0.17%
"dried pork",3,0.17%
"pork gravy",3,0.17%
"chicory inulin, yeasts, glucosamine, chondroitin sulphate, yucca schidigera extract, cranberry extract, pomegranate extract, green tea extract.",3,0.17%
"dried chicken protein",3,0.17%
"organic honey",3,0.17%
"0.01% marigold flower meal",3,0.17%
"50% fresh chicken",3,0.17%
"5% beet pulp",3,0.17%
"0.25% chicory",3,0.17%
"animal proteins",3,0.17%
"artichoke",3,0.17%
"liquorice root",3,0.17%
"seasonal vegetables 28%",3,0.17%
"mint 2%",3,0.17%
"dha",3,0.17%
"linseed 3%",3,0.17%
"10% raw dried carrot",3,0.17%
"10% beef green tripe",3,0.17%
"5% beef kidney.",3,0.17%
"dried maize protein",3,0.17%
"butternut squash 5%",3,0.17%
"seasonal greens 3%",3,0.17%
"raspberry and blueberry 1%",3,0.17%
"chicken 39%",3,0.17%
"dried alfalfa 1%",3,0.17%
"turkey 26%",3,0.17%
"turkey protein",3,0.17%
"eggs shells",3,0.17%
"yucca mojave",3,0.17%
"dried milk thistle",3,0.17%
"dried curcuma.",3,0.17%
"sweet potato 17%",3,0.17%
"green lipped mussel powder",3,0.17%
"yucca shidigera",3,0.17%
"maize oil",3,0.17%
"peas 8%",3,0.17%
"lucerne meal",3,0.17%
"methyl sulphonyl methane",3,0.17%
"seaweed 150mg/kg",3,0.17%
"salmon deboned",3,0.17%
"yeast.",3,0.17%
"hemp oil",3,0.17%
"fennel seeds",3,0.17%
"yeast hydrolysate",3,0.17%
"maize germ",3,0.17%
"dehydrated poultry meat",3,0.17%
"vegetable fibers",3,0.17%
"meat and animal derivatives 22%",3,0.17%
"rice bran",3,0.17%
"carrots 0.3%",3,0.17%
"cranberry 0.16%",3,0.17%
"fructo-oligosaccharides 0.1%",3,0.17%
"blackcurrant 0.005%",3,0.17%
"beetroot 0.005%",3,0.17%
"broccoli 2%",3,0.17%
"fresh carrots",3,0.17%
"dried blackcurrant",3,0.17%
"wheat germ oil 0.4%",3,0.17%
"coconut oil 0.4%",3,0.17%
"nutritional yeast 0.3%",3,0.17%
"chicory root powder 0.1%",3,0.17%
"spirulina 0.1%",3,0.17%
"organic kelp powder 0.05%.",3,0.17%
"0.02% yucca",3,0.17%
"0.2% salmon oil",3,0.17%
"dl-methionine",3,0.17%
"marshmallow root powder",3,0.17%
"rosemary oil.",3,0.17%
"pea bran meal.",3,0.17%
"pumpkin 2%",3,0.17%
"chickpea flour",3,0.17%
"dried chicory root extract",3,0.17%
"hydrolyzed fish proteins",3,0.17%
"ginger 0.1%",3,0.17%
"85% chicken",3,0.17%
"dehydrated cranberries",3,0.17%
"comfrey",3,0.17%
"lamb 33%",3,0.17%
"dried alfalfa 0.5%",3,0.17%
"dehydrated seaweed",3,0.17%
"fenugreek seeds",3,0.17%
"crushed carob",3,0.17%
"partially hydrolysed starch",3,0.17%
"4% sweet potato",3,0.17%
"70% beef",3,0.17%
"potato 18%",3,0.17%
"dried chicken & turkey 24%",3,0.17%
"rice 26%",3,0.17%
"dried herbs 0.12%",3,0.17%
"broad beans",3,0.17%
"pumpkin seeds",3,0.17%
"lucerne extract",3,0.17%
"oat feed",3,0.17%
"organic whole grain oats",3,0.17%
"organic soy husks",3,0.17%
"meat meals 26%",3,0.17%
"dried oregano",3,0.17%
"flaked peas",3,0.17%
"meat 80%",3,0.17%
"flax seeds",3,0.17%
"natural digest",3,0.17%
"4% carrots",3,0.17%
"prebiotic mannan oligosaccharides",3,0.17%
"sweet potato 8%",3,0.17%
"fresh lamb",3,0.17%
"hydrolyzed animal protein",3,0.17%
"trout",3,0.17%
"whole lentils",3,0.17%
"nutritional yeast",3,0.17%
"joint care mix",3,0.17%
"boswellia",3,0.17%
"vitamins & chelated minerals",3,0.17%
"cranberry extract.",3,0.17%
"dl-methionine.",3,0.17%
"cold pressed olive oil",3,0.17%
"pumpkin.",3,0.17%
"poultry plasma 0.7%",3,0.17%
"dried carrot 0.47%",3,0.17%
"dried potato 0.47%",3,0.17%
"flaxseed oil 0.1%",3,0.17%
"salmon oil 0.1%",3,0.17%
"dried seaweed 0.04%",3,0.17%
"chicory root powder 0.03%",3,0.17%
"glucosamine hcl 0.01%",3,0.17%
"broccoli 1%",3,0.17%
"parsley 0.1%",3,0.17%
"dill 0.1%.",3,0.17%
"sea buckthorn",3,0.17%
"chicken 34%",3,0.17%
"yucca schidigera juice",3,0.17%
"turkey 29%",3,0.17%
"antioxidants bha & bht.",3,0.17%
"cooked wholegrain rice 6%",3,0.17%
"sweet potato 5%",3,0.17%
"3% beef liver",3,0.17%
"amaranth",3,0.17%
"marine collagen",3,0.17%
"dried chicken & turkey 29%",3,0.17%
"fish gravy",3,0.17%
"lentils 4%",3,0.17%
"salmon oil 3%",3,0.17%
"chondroitin 0.015%",3,0.17%
"dehydrated egg",3,0.17%
"sustainable hand harvested organic scottish kelp 1%",3,0.17%
"spray dried chicken meal",3,0.17%
"harvest oats",3,0.17%
"psyllium husk & seeds",3,0.17%
"dried turkey meat",3,0.17%
"milk thistle seed",3,0.17%
"parsnip 3%",3,0.17%
"fresh poultry meat",3,0.17%
"fishmeal from saltwater fish",3,0.17%
"desugared dried beet pulp",3,0.17%
"dried carob bean meal",3,0.17%
"minerals and trace elements",3,0.17%
"20% oats",3,0.17%
"2% seaweed",3,0.17%
"1% trout oil",3,0.17%
"brown rice 26%",3,0.17%
"organic sunflower oil",3,0.17%
"white rice 12%",3,0.17%
"fresh chicken giblets 7%",3,0.17%
"chicken muscle meat",3,0.17%
"dried caraway",3,0.17%
"dried yarrow",3,0.17%
"dried blackberry leaves",3,0.17%
"dried mistle",3,0.17%
"dried chamomile blossoms",3,0.17%
"dried gentianroot",3,0.17%
"dried centaury.",3,0.17%
"spinach powder.",3,0.17%
"potato 5%",3,0.17%
"sustainably sourced wild salmon oil",3,0.17%
"dried lamb protein",3,0.17%
"hydrolysed gelatine",3,0.17%
"liver",3,0.17%
"hydrolysed salmon protein",3,0.17%
"powdered egg",3,0.17%
"colostrum",3,0.17%
"dried rosemary &amp; thyme",3,0.17%
"mixed herbs and botanicals 0.2%",3,0.17%
"fresh chicken giblets 5%",3,0.17%
"65% beef",3,0.17%
"flaked maize",3,0.17%
"meat & bone meal",3,0.17%
"carrots 6%",3,0.17%
"organic chicken",3,0.17%
"dried yeasts",3,0.17%
"micro algae",3,0.17%
"suncured alfalfa",3,0.17%
"salmon and trout 50%",3,0.17%
"lysine hcl.",3,0.17%
"salmon oil 1.5%",3,0.17%
"chicory 0.05%",3,0.17%
"dried herbs 0.5%",3,0.17%
"peas 3%",3,0.17%
"corn protein",3,0.17%
"rice 10%",3,0.17%
"chicken 45%",3,0.17%
"fructo oligosaccharides 0.2%",3,0.17%
"65% chicken with bone",3,0.17%
"vegetables 20%",3,0.17%
"dandelion leaves",3,0.17%
"nettle leaves",3,0.17%
"prebiotics fructooligosaccharides",3,0.17%
"cold-pressed sunflower oil 3%",3,0.17%
"kelp seaweed 2.5%",3,0.17%
"spinach 2.5%",3,0.17%
"ground chia seeds 2%",3,0.17%
"blackcurrant 1%",3,0.17%
"turmeric 0.1%",3,0.17%
"chicken 35%",3,0.17%
"carrots 1.2%",3,0.17%
"parsnips 1.2%",3,0.17%
"apple 1.2%",3,0.17%
"broccoli 0.5%",3,0.17%
"spinach 0.5%",3,0.17%
"yucca 200mg/kg",3,0.17%
"cranberries 200mg/kg",3,0.17%
"chondroitin sulphate 200mg/kg",3,0.17%
"whole british free range chicken",3,0.17%
"chamomile flowers",3,0.17%
"dried chicken meat",3,0.17%
"dried brown rice",3,0.17%
"cod",3,0.17%
"potato 26%",3,0.17%
"fresh chicken meat 70%",3,0.17%
"white fish meal",3,0.17%
"turkey 36%",3,0.17%
"potato 20%",3,0.17%
"blueberries 0.01%",3,0.17%
"lemon balm.",3,0.17%
"sweet potato 4%",3,0.17%
"sweet potato 26%",3,0.17%
"hipro soya",3,0.17%
"9%",3,0.17%
"seaweed 1%",3,0.17%
"rice.",3,0.17%
"potato protein 7%",3,0.17%
"organic pumpkin",3,0.17%
"broth 39.5%",3,0.17%
"pure chicken oil",3,0.17%
"turkey stock 2%",3,0.17%
"garlic 0.47%",3,0.17%
"thyme 0.02%.",3,0.17%
"meat and animal derivatives 40%",3,0.17%
"meat and meat by-products 53%",3,0.17%
"peas 1%",3,0.17%
"beet fibre.",3,0.17%
"apple fibre",3,0.17%
"aniseed and fenugreek",3,0.17%
"organic dried carrot",3,0.17%
"organic pumpkin powder",3,0.17%
"organic spinach powder",3,0.17%
"dried garlic",3,0.17%
"65% duck",3,0.17%
"3.5% brewers yeast",3,0.17%
"marigold yellow",3,0.17%
"rosehip.",3,0.17%
"2% raspberries",3,0.17%
"chicory root extract 0.1%",3,0.17%
"turmeric 0.12%",3,0.17%
"molluscs and crustaceans.",3,0.17%
"chicken hydrolysate",3,0.17%
"inulin.",3,0.17%
"l tryptophan",3,0.17%
"natural antioxidants",3,0.17%
"krill meal",3,0.17%
"65% salmon",3,0.17%
"0.2% salmon oil.",3,0.17%
"chicken broth",3,0.17%
"28.8% stock",3,0.17%
"brown rice 16%",3,0.17%
"1.8% eggs",3,0.17%
"seaweed extract",3,0.17%
"horehound",3,0.17%
"ocean fish oil",3,0.17%
"50% chicken",3,0.17%
"prebiotic mannan-oligosaccharide",3,0.17%
"dried insect protein",3,0.17%
"mos and beta glucans",3,0.17%
"scottish salmon oil",3,0.17%
"sweet potato 11%",3,0.17%
"wheat middlings",3,0.17%
"freshly prepared chicken 36%",3,0.17%
"dried chicken 22%",3,0.17%
"freshly prepared turkey 11%",3,0.17%
"freshly prepared salmon 4%",3,0.17%
"freshly prepared pollock 4%",3,0.17%
"dried duck 1%",3,0.17%
"hip & joint care",3,0.17%
"cereal",3,0.17%
"seasonal greens",3,0.17%
"chicken meal 17%",2,0.11%
"35% partially hydrolysed fresh turkey meat",2,0.11%
"20% partially hydrolysed fresh whole fish",2,0.11%
"10% meat fresh duck",2,0.11%
"5% fresh chicken liver",2,0.11%
"0.25% carrot",2,0.11%
"0.25% apple",2,0.11%
"linseeds 0.5%",2,0.11%
"0.1% egg shell powder",2,0.11%
"0.1% rapeseed oil",2,0.11%
"0.1% silica",2,0.11%
"0.1% spirulina",2,0.11%
"0.1% omega-3 extract",2,0.11%
"extract of new zealand green-lipped mussel.",2,0.11%
"gelatin",2,0.11%
"brown rice 18%",2,0.11%
"35% chicken",2,0.11%
"joint care pack",2,0.11%
"turkey gravy 2.9%",2,0.11%
"kale 2%",2,0.11%
"quinoa 2%",2,0.11%
"chick peas",2,0.11%
"manuka honey.",2,0.11%
"herbs 0.12%",2,0.11%
"fresh pork meat 70%",2,0.11%
"organic rice protein",2,0.11%
"organic chamomile",2,0.11%
"beef tripe 25%",2,0.11%
"safflower",2,0.11%
"eggshell powder.",2,0.11%
"white potato",2,0.11%
"5% berry good supplement mix",2,0.11%
"egg products dried",2,0.11%
"cranberry powder.",2,0.11%
"fish flour 23%",2,0.11%
"dried carrots.",2,0.11%
"tomato powder.",2,0.11%
"whole garbanzo beans",2,0.11%
"dried brown kelp",2,0.11%
"meat and animal derivatives 55%",2,0.11%
"dried chickpeas 5.5%",2,0.11%
"poultry fat 5%",2,0.11%
"high nucleotide yeast",2,0.11%
"dried plasma",2,0.11%
"dried colostrum.",2,0.11%
"beef with bone",2,0.11%
"chondritin",2,0.11%
"9% hydrolysed starch",2,0.11%
"1.5% vegetable glycerine",2,0.11%
"0.25% pumpkin",2,0.11%
"0.125% pear",2,0.11%
"0.125% pineapple",2,0.11%
"0.125% thyme",2,0.11%
"0.125% coriander",2,0.11%
"0.125% cumin",2,0.11%
"preservatives",2,0.11%
"dried fruit 2.3%",2,0.11%
"dried botanicals 0.6%",2,0.11%
"dried herring protein",2,0.11%
"whole egg powder 1%",2,0.11%
"psyllium husk powder",2,0.11%
"marigold powder.",2,0.11%
"pentasodium triphosphate",2,0.11%
"preservatives & antioxidants.",2,0.11%
"beef greaves protein",2,0.11%
"pieces of potato",2,0.11%
"dried fruits of the forest 0.3%",2,0.11%
"soyabean oil",2,0.11%
"organic rice",2,0.11%
"organic oats",2,0.11%
"organic barley",2,0.11%
"0.1% borage oil",2,0.11%
"20% rice",2,0.11%
"0.125% rosemary",2,0.11%
"chicory powder",2,0.11%
"mussel meat",2,0.11%
"birch leaves",2,0.11%
"coriander",2,0.11%
"hydrolyzed yeast",2,0.11%
"dried pears",2,0.11%
"peas 20%",2,0.11%
"d-glucosamine hydrochloride 100 mg",2,0.11%
"chondroitin sulphate 100 mg",2,0.11%
"brown rice 67%",2,0.11%
"blueberry extract.",2,0.11%
"60% chicken with bone",2,0.11%
"10% beef heart",2,0.11%
"fresh butternut squash",2,0.11%
"freshly prepared haddock",2,0.11%
"carrot 5%",2,0.11%
"kelp 0.5%.",2,0.11%
"duck 36%",2,0.11%
"sustainable seasonal vegetables 12%",2,0.11%
"chicken 24%",2,0.11%
"fruit and vegetables 8%",2,0.11%
"sunflower oil 0.13%",2,0.11%
"flaxseed oil 0.06%",2,0.11%
"salmon oil 0.06%",2,0.11%
"dried kelp 0.06%",2,0.11%
"dried nettle 0.01%",2,0.11%
"glucosamine 0.01%",2,0.11%
"dried rosehip 0.006%",2,0.11%
"dried marigold 0.002%",2,0.11%
"amino acids",2,0.11%
"haddock & blue whiting 60%",2,0.11%
"new zealand green mussels",2,0.11%
"dried meat from the new zealand green-lipped mussel.",2,0.11%
"20% fresh whole fish",2,0.11%
"10% fresh duck",2,0.11%
"5% fresh pork liver",2,0.11%
"1% beet pulp",2,0.11%
"0.25% pineapple",2,0.11%
"0.25% ginger",2,0.11%
"fresh chicken giblets 10%",2,0.11%
"chicken 67%",2,0.11%
"dried turmeric",2,0.11%
"poultry meat meal 30%",2,0.11%
"yucca 100mg/kg",2,0.11%
"meat and animal derivatives 30%",2,0.11%
"minerals dried.",2,0.11%
"egg yolk powder",2,0.11%
"flax seed",2,0.11%
"mixed herbs.",2,0.11%
"meat and animal derivatives 60%",2,0.11%
"wholegrain maize",2,0.11%
"dry peat",2,0.11%
"chicken gravy 3%",2,0.11%
"chicken gravy 4%",2,0.11%
"camomile 0.2%",2,0.11%
"broth 42.5%",2,0.11%
"butternut squash 2%",2,0.11%
"carrots 2.5%",2,0.11%
"chicory.",2,0.11%
"blackcurrant extract",2,0.11%
"freshly prepared free range egg",2,0.11%
"chia seeds 0.5%",2,0.11%
"vegetable digest",2,0.11%
"30% poultry protein",2,0.11%
"sweet potato 32%",2,0.11%
"fish oil 1.7%",2,0.11%
"turmeraid",2,0.11%
"omega 3 oil",2,0.11%
"mannan oligosaccharides.",2,0.11%
"meat and animal derivatives 34%",2,0.11%
"dried yeast extract",2,0.11%
"poultry protein hydrolysed",2,0.11%
"xylose",2,0.11%
"prebiotic fructooligosaccharides",2,0.11%
"green vegetables 3.5%",2,0.11%
"turmeric 0.3%",2,0.11%
"salmon oil 0.15%",2,0.11%
"chicken protein hydrolyzed",2,0.11%
"salmon oil 7%",2,0.11%
"dried chicken 3%",2,0.11%
"chicken gravy 2%",2,0.11%
"dried ground chicken 42%",2,0.11%
"chicken oil 3.3%",2,0.11%
"butyric acid salt",2,0.11%
"glucosamine 500 mg/kg",2,0.11%
"grape seed extract.",2,0.11%
"prebiotic fructo-oligosaccharides",2,0.11%
"brown rice 21%",2,0.11%
"sugar beet pulp 3%",2,0.11%
"comfrey leaves",2,0.11%
"rubbed mint",2,0.11%
"protein pellets containing beef meat meal",2,0.11%
"extruded wholewheat biscuits",2,0.11%
"cooked flaked maize",2,0.11%
"wheat glucose syrup",2,0.11%
"baked wholewheat biscuits",2,0.11%
"cooked flaked peas",2,0.11%
"cooked wheatflakes",2,0.11%
"dried salmon 4.0%",2,0.11%
"28.8% meat stock",2,0.11%
"0.2% linseed oil.",2,0.11%
"peas 10%",2,0.11%
"chicken 46%",2,0.11%
"meat and animal derivatives 39%",2,0.11%
"turkey meat meal",2,0.11%
"potato 9%",2,0.11%
"tapioca 9%",2,0.11%
"cartilage hydrolysate",2,0.11%
"prebiotic - fructooligosaccharide",2,0.11%
"green lipped mussel.",2,0.11%
"dried dandelion.",2,0.11%
"brown rice 30%",2,0.11%
"cottage cheese",2,0.11%
"andean salt",2,0.11%
"mos 500mg/kg",2,0.11%
"fos 500mg/kg",2,0.11%
"yucca 100mg/kg.",2,0.11%
"broth.",2,0.11%
"poultry meal 26%",2,0.11%
"1.3% organic hydrolyzed pork liver",2,0.11%
"ginseng extract 0.5%",2,0.11%
"0.125% turmeric",2,0.11%
"husked oats",2,0.11%
"fructo-oligosaccharides.",2,0.11%
"broth 43%",2,0.11%
"green lipped mussel 0.07%",2,0.11%
"glucosamine 0.015%",2,0.11%
"chondroitin 0.007%.",2,0.11%
"cold-pressed rapeseed oil",2,0.11%
"fruit mix",2,0.11%
"herbal mixture",2,0.11%
"chicken meal 11%",2,0.11%
"chicken fat 7%",2,0.11%
"dried chicken protein 5%",2,0.11%
"full-fat linseed",2,0.11%
"beet pulp 2%",2,0.11%
"glucosamine hydrochloride 100 mg/kg",2,0.11%
"chondroitin sulfate 100 mg/kg.",2,0.11%
"27.8% stock",2,0.11%
"algae mix",2,0.11%
"potato 25%",2,0.11%
"gelatine powder",2,0.11%
"blueberry 1%",2,0.11%
"cranberry 1%",2,0.11%
"pre-biotic mannan oligosaccharides",2,0.11%
"salmon 42%",2,0.11%
"botanicals",2,0.11%
"chicken 38.5%",2,0.11%
"chicken meal 15%",2,0.11%
"whole rice",2,0.11%
"whole free range chicken including bone",2,0.11%
"seasonal veg 33%.",2,0.11%
"ground flaxseed",2,0.11%
"dried basil.",2,0.11%
"meat 42%",2,0.11%
"beef gravy 30%",2,0.11%
"freshly prepared carrot",2,0.11%
"dried mulberry",2,0.11%
"chicken 42%",2,0.11%
"whole linseed 4.5%",2,0.11%
"sugar beet pulp 4.5%",2,0.11%
"fructo-oligosaccharide 0.25%",2,0.11%
"meat and animal derivatives 16%",2,0.11%
"sweet potato 1%",2,0.11%
"dried trout",2,0.11%
"ginger root",2,0.11%
"glucosamine 355mg",2,0.11%
"methylsulfonylmethane 355mg",2,0.11%
"mannanoligosaccharides 315mg",2,0.11%
"fructooligosaccharides 315mg",2,0.11%
"chondroitin sulphate 250mg",2,0.11%
"yucca schigidera extract",2,0.11%
"pheasant",2,0.11%
"turkey 32.5%",2,0.11%
"chicken meal 16%",2,0.11%
"glucosamine hydrochloride 200 mg/kg",2,0.11%
"chondroitin sulfate 200 mg/kg.",2,0.11%
"fresh apples",2,0.11%
"90% fresh meat and fish",2,0.11%
"peas 2.5%",2,0.11%
"meat and animal derivatives 23%",2,0.11%
"redcurrants",2,0.11%
"beet.",2,0.11%
"5% beef heart",2,0.11%
"greaves",2,0.11%
"turkey 65%",2,0.11%
"chondroitin 0.002%",2,0.11%
"hydrolysed liver protein 1%",2,0.11%
"dried ground chicken meat",2,0.11%
"brown rice 28%",2,0.11%
"dried ground duck meat",2,0.11%
"beet vulgaris",2,0.11%
"dried vegetable mixture 1.5%",2,0.11%
"dried herb mixture 1%",2,0.11%
"yucca schidigera 1%",2,0.11%
"green mineral clay",2,0.11%
"green lipped mussel meat.",2,0.11%
"vegetable oil fractions",2,0.11%
"black pepper.",2,0.11%
"herring protein",2,0.11%
"venison & salmon 50%",2,0.11%
"inulin 0.1%",2,0.11%
"parsley.",2,0.11%
"taurine.",2,0.11%
"ground millet",2,0.11%
"fresh green herbs",2,0.11%
"green mineral soil.",2,0.11%
"0.2% reishi mushroom tinctures.",2,0.11%
"grains",2,0.11%
"probiotic lactobacillus helveticus ha &ndash; 122 inactivated.",2,0.11%
"carrot 3.5%",2,0.11%
"potato 3.5%",2,0.11%
"75% fresh meat and wild caught fish",2,0.11%
"20% sweet potato",2,0.11%
"mixed vegetables",2,0.11%
"barley meal",2,0.11%
"tocopherols",2,0.11%
"brown rice 12%",2,0.11%
"rose hip",2,0.11%
"pollen",2,0.11%
"chicken 53%",2,0.11%
"mango 0.1%",2,0.11%
"beef 60%",2,0.11%
"tapioca 5%",2,0.11%
"freshly prepared egg",2,0.11%
"74% grass fed beef",2,0.11%
"sweet potato 25%",2,0.11%
"yellow pea",2,0.11%
"fresh lamb 30%",2,0.11%
"cod liver oil",2,0.11%
"dlmethionine",2,0.11%
"bilberry powder 0.25%",2,0.11%
"green lipped mussel powder 0.2%",2,0.11%
"dried algae 0.5%",2,0.11%
"dried ground duck",2,0.11%
"dried ground sea fish",2,0.11%
"mixture of cold pressed vegetable oils",2,0.11%
"pre biotic",2,0.11%
"dried green lipped mussels.",2,0.11%
"marigold blossoms",2,0.11%
"blackberry leaves",2,0.11%
"balm",2,0.11%
"50% turkey",2,0.11%
"sweet potato 27%",2,0.11%
"yeast 0.15%",2,0.11%
"yucca 0.005%",2,0.11%
"paraprobiotic lactobacillus helveticus 0.001%.",2,0.11%
"extract of yucca schidgera.",2,0.11%
"fresh turkey meat",2,0.11%
"natural vitamin e from sunflower oil",2,0.11%
"0.44% spirulina",2,0.11%
"0.34% wheatgrass",2,0.11%
"0.2% turmeric.",2,0.11%
"oat meal from husked seeds",2,0.11%
"55% fresh chicken",2,0.11%
"30% fresh pork",2,0.11%
"citrus extract 0.03%.",2,0.11%
"dried herbs 0.05 %",2,0.11%
"sustainably caught atlantic mackerel 6.59%",2,0.11%
"sustainably sourced scandinavian blue mussel 0.1%",2,0.11%
"cleavers 0.1%",2,0.11%
"flaked wheat",2,0.11%
"flaked barley",2,0.11%
"organic pork",2,0.11%
"hi pro soya",2,0.11%
"yeast extract: high nucleotide & minerals.",2,0.11%
"pork 10%",2,0.11%
"dehydrated salmon 20%",2,0.11%
"fresh salmon 10%",2,0.11%
"chicken oil 9.5%",2,0.11%
"mannan oligosaccharides 0.05%",2,0.11%
"products from the processing of plants",2,0.11%
"flavours",2,0.11%
"gravy",2,0.11%
"dried wild berries 0.3%",2,0.11%
"herbs and botanicals",2,0.11%
"turkey hearts",2,0.11%
"dried yucca schidigera",2,0.11%
"horehound.",2,0.11%
"hydrolyzed animal proteins",2,0.11%
"chondroitin sulfate.",2,0.11%
"manioc",2,0.11%
"chicken gravy 5%",2,0.11%
"chamomile 0.2%",2,0.11%
"seagreens kelp.",2,0.11%
"beef 45%",2,0.11%
"milk thistle 5%",2,0.11%
"dried moor extract 1.5%",2,0.11%
"dried chicory 1.5%",2,0.11%
"mineral clay 1%",2,0.11%
"dried nettle leaves 1%",2,0.11%
"dried dandelion leaves 1%",2,0.11%
"pre-soaked red quinoa 1%",2,0.11%
"lignocellulose.",2,0.11%
"dried whole egg 1%",2,0.11%
"oregano 0.1%",2,0.11%
"chicory root 0.1%",2,0.11%
"black pepper 0.1%",2,0.11%
"echinacea root 0.1%",2,0.11%
"algae omega 3 powder 0.1%",2,0.11%
"broccoli 0.1%",2,0.11%
"green lipped mussel powder 0.1%",2,0.11%
"natural probiotic 0.0023%.",2,0.11%
"blueberries 200mg/kg",2,0.11%
"powdered eggs",2,0.11%
"dehydrated pea protein",2,0.11%
"beetroot pulp",2,0.11%
"lingon berries",2,0.11%
"pomegranate pulp",2,0.11%
"blackcurrant jelly",2,0.11%
"dehydrated plasma protein",2,0.11%
"grape seeds",2,0.11%
"n-acetyl-glucosamine sulphate",2,0.11%
"methyl-sulfonyl-methane",2,0.11%
"mint leaf",2,0.11%
"duck 50%",2,0.11%
"meat and animal derivatives 15%",2,0.11%
"peas 14%",2,0.11%
"fresh chicken meat 10%",2,0.11%
"salmon meal 26%",2,0.11%
"dried egg powder",2,0.11%
"fishmeal",2,0.11%
"manna oligosaccharides",2,0.11%
"chicken oil and fat",2,0.11%
"dried pea protein",2,0.11%
"black currant jelly",2,0.11%
"plasma protein",2,0.11%
"n-acetyl-glucosamine",2,0.11%
"sugar",2,0.11%
"23% poultry protein",2,0.11%
"duck gravy",2,0.11%
"2% chicken fat",2,0.11%
"2.3% dried whole green peas & beet",2,0.11%
"organic dried seaweed.",2,0.11%
"dried vegetable fibre",2,0.11%
"cold pressed coconut oil",2,0.11%
"cold pressed canola oil",2,0.11%
"duck 30%",2,0.11%
"carrots 4%",2,0.11%
